Type_,DðNOMMIN_,LATTITUDE,LONGITUTE,Index,remove
ArretTransport,Beach Ngobila,-4.297454,15.317937,13,
BureauAdmin,Gare centrale,-4.301284,15.317937,83,
BureauAdmin,Sep Congo,-4.299534,15.319361,89,
Eglises,Paroisse Saint - Anne,-4.301284,15.317937,161,
Hotels,Hðtel Bðatrice,-4.30014,15.317487,214,
Supermarchð,New Lys I,-4.304084,15.317458,67,
BureauAdmin,Institut National des arts,-4.305381,15.320513,105,
Commerces,ORCA,-4.306496,15.319028,146,
Hotels,Hðtel Memling,-4.304047,15.312816,213,
BureauAdmin,Congo Trade Center,-4.298331,15.311778,85,
BureauAdmin,FBNBANK HQ,-4.298331,15.311778,86,
Commerces,Fiesta Club,-4.301678,15.313187,143,
BureauAdmin,ONATRA,-4.300345,15.312266,87,
BureauAdmin,Rond Point Forescom,-4.301182,15.308782,90,
BureauAdmin,Equity Bank Congo,-4.300212,15.309722,88,
Restaurants,Al Dar,-4.302459,15.311321,235,
BureauAdmin,Immeuble BCDC,-4.303628,15.309845,99,
BureauAdmin,Poste,-4.304409,15.30771,100,
BureauAdmin,K towers,-4.304278,15.306667,98,
BureauAdmin,Hðtel de ville de Kinshasa,-4.30613,15.308486,106,
Hopitaux,Centre mðdical de la Mongala,-4.302997,15.306576,207,
BureauAdmin,DGI,-4.307414,15.310085,107,
Marchð,Marchð central,-4.310591,15.312767,219,
Eglises,Eglise Saint Paul,-4.314793,15.322473,167,
Eglises,Eglise locale Cbfc Itaga,-4.313275,15.315447,166,
Eglises,Mosque Centrale Usoke,-4.315363,15.311618,165,
Eglises,Eglise des assemblðes de dieu,-4.313721,15.308727,164,
Hopitaux,Hðpital Gðnðral de Kinshasa,-4.308866,15.306173,208,
ArretTransport,Avenue du Commerce et Kasa vubu,-4.308776,15.308054,47,
BureauAdmin,Immeuble Congo Futur,-4.304348,15.305122,108,
BureauAdmin,SONAS,-4.304348,15.305122,109,
Commerces,Le premier Shopping Mall,-4.304794,15.299699,145,
Restaurants,Le roi du Cossa,-4.304351,15.297049,245,
Restaurants,Majestic River,-4.301842,15.297408,244,
Restaurants,Dvin,-4.30349,15.298953,243,
Restaurants,Majestic River,-4.301842,15.297408,244,
Eglises,Eglise Notre Dame de Fatima,-4.309526,15.299964,162,
BureauAdmin,Brussels airlines Check in,-4.306669,15.295353,102,
BureauAdmin,Immeuble CNSS,-4.307079,15.295775,111,
Commerces,Golf de Kinshasa,-4.311187,15.296108,147,
Restaurants,Le cerlce gourmand,-4.313102,15.293458,250,
Hotels,Hðtel Sultani,-4.308079,15.289882,216,
Supermarchð,Petite Epicerie,-4.311188,15.287449,66,
Eglises,Paroisse Sacrð Coeur,-4.30768,15.284033,163,
BureauAdmin,Ministðre des affaires ðtrangðres,-4.30937,15.281425,115,
BureauAdmin,Palais de Justice,-4.311172,15.281253,116,
Commerces,Hall de la Gombe,-4.317705,15.286629,148,
Restaurants,Spirit Club,-4.315749,15.285727,251,
ArretTransport,Arret hðtel du Gouvernement,-4.313589,15.282962,16,
Commerces,Shark Club,-4.310868,15.276328,150,
ArretTransport,Rond point Batetela,-4.317082,15.278704,17,
Hotels,Hðtel Rotana,-4.318434,15.274304,218,
ArretTransport,Arret Socimat,-4.320217,15.27533,24,
Hotels,Hðtel du Fleuve,-4.311994,15.270098,217,
ArretTransport,Rond Point Sfricas,-4.322972,15.278196,15,
BureauAdmin,Haute Cour Militaire,-4.323286,15.279063,118,
Eglises,Mosque Shia,-4.317423,15.26901,171,
BureauAdmin,HQ Orange,-4.322639,15.271578,120,
ArretTransport,Arret Utex Africa,-4.322089,15.272369,22,
Supermarchð,Shoprite,-4.328705,15.274704,70,
Commerces,Decathlon,-4.329454,15.276185,153,
Restaurants,Chez Cactus,-4.328822,15.279411,254,
Restaurants,O'Poeta,-4.331456,15.262836,257,
ArretTransport,Komoriko,-4.330938,15.264129,26,
ArretTransport,Arret Stade velodrome,-4.338542,15.266048,30,
Commerces,Stade Vðlodrome,-4.338633,15.266046,159,
Restaurants,Gabriella,-4.334777,15.264828,265,
BureauAdmin,Western Union CFC,-4.336868,15.265928,124,
ArretTransport,Arret Telecel Alingwa,-4.346173,15.265282,35,
ArretTransport,Arret marylene,-4.345307,15.2629,36,
ArretTransport,Arret Station Macampagne (ML),-4.346258,15.264582,34,
ArretTransport,Arret Camp Babylone,-4.345075,15.262332,31,
Hopitaux,Hðpital gðnðral de Kintambo,-4.33445,15.270884,210,
ArretTransport,Arret Bakayaou,-4.341727,15.281386,49,
Commerces,Parc Mont Ngaliema,-4.32978,15.250517,152,
BureauAdmin,Maison communale de Ngaliema,-4.331674,15.250549,127,
BureauAdmin,INBTP,-4.330957,15.251912,128,
ArretTransport,Arret Centre hospitalier de Kintambo,-4.339644,15.260533,32,
ArretTransport,Rond point Kintambo,-4.33361,15.25784,28,
ArretTransport,Rond point Kwado,-4.336659,15.25916,29,
Commerces,Symphonie des arts,-4.331107,15.257984,151,
BureauAdmin,Chanic Chantier Naval,-4.329064,15.255527,125,
BureauAdmin,Poste de Ngaliema,-4.329064,15.255527,126,
BureauAdmin,TASOK,-4.335461,15.244015,129,
ArretTransport,CHK,-4.34265,15.241245,25,
ArretTransport,Arret Station Centre Superieur,-4.348896,15.239126,23,
Supermarchð,Kin marchð Binza,-4.347325,15.239174,74,
Restaurants,La grande Marmitte,-4.349002,15.249355,269,
Supermarchð,Food Market Macampagne,-4.350225,15.250175,79,
Restaurants,La villa Hesbaye,-4.35138,15.250828,268,
Commerces,Immeuble Cosmos,-4.354174,15.256205,155,
Restaurants,Maman colonel Ngaliema,-4.351767,15.262232,267,
Cimetiere,Kintambo,-4.360195,15.267062,133,
ArretTransport,Arret Sakombi,-4.35799,15.262862,33,
Restaurants,Mimoza plaza,-4.326212,15.236628,271,
Restaurants,Site touristique Maman Wiva,-4.330416,15.232465,272,
BureauAdmin,Carrigres,-4.342041,15.212177,130,
Supermarchð,SK supermarchð,-4.338637,15.219756,76,
Supermarchð,Kjelsie,-4.335545,15.221778,75,
Commerces,Terrain de Basket du camp Mimosa,-4.336,15.223885,157,
Restaurants,La voix du fleuve,-4.332159,15.223123,273,
BureauAdmin,Safricas,-4.367199,15.184513,131,
Commerces,Mbudi Nature,-4.359698,15.186219,158,
Cimetiere,Kinsuka,-4.354005,15.205628,136,
ArretTransport,DGC barrð,-4.3580679,15.2397906,18,
ArretTransport,Gramalique,-4.362,15.243216,19,
Commerces,Terrain de Delvaux,-4.376818,15.256517,156,
Marchð,MArchð Delvaux,-4.37832,15.257861,231,
Restaurants,Salle de fðte de la Rotonde Binza,-4.374133,15.258298,270,
ArretTransport,UPN Djelo,-4.406777,15.256583,21,
Supermarchð,Peloustore KIVU,-4.390131,15.260579,72,
ArretTransport,Binza Arret Maternite,-4.382902,15.259856,27,
ArretTransport,Inga,-4.350786,15.284416,51,
ArretTransport,Avenue Kimbondo et Pierre Mulele,-4.350617,15.285303,44,
Marchð,Marchð selembao,-4.37408,15.284131,228,
Eglises,ECC/CEC/BUMBU,-4.370404,15.286178,206,
ArretTransport,Arret moulard,-4.347944,15.291688,50,
Marchð,Marchð Moulaert ou Marchð Lumumba,-4.349188,15.289149,227,
Marchð,Wenze Muselu/Gambela,-4.366263,15.300903,229,
Marchð,BAYAKA,-4.351855,15.300628,226,
ArretTransport,Avenue kalembelembe et Pierre Mulele (ASSANEF),-4.326304,15.296574,45,
ArretTransport,Huillerie,-4.32349,15.306243,46,
Eglises,Baruti Tabernacle,-4.396538,15.31537,201,
Eglises,Centre Missionnaire ðvangðlique au Congo,-4.393452,15.319645,199,
Eglises,Centre Evangðlique LA TRINITE,-4.393333,15.317878,200,
Eglises,Paroisse Marie Reine des Apðtres,-4.393104,15.311535,203,
Eglises,St.Christine,-4.388729,15.313091,204,
ArretTransport,Rond Point Ngaba,-4.389887,15.31462,42,
ArretTransport,Croissement Kianza et Universitð,-4.374545,15.318392,48,
Marchð,Matadi Kibala,-4.448616,15.248467,233,
Cimetiere,Cimetiðre Kimbanseke,-4.450294,15.242454,138,
Cimetiere,Benseke Nouvelle Citð,-4.491931,15.218732,134,
Cimetiere,Cimetiðre Mingadi,-4.522548,15.183985,140,
Cimetiere,Cimetiðre sans fil,-4.471472,15.236893,137,
Cimetiere,Cimetiðre Ndjili Brasserie,-4.475098,15.359359,139,
Marchð,Marchð Bumbu,-4.422761,15.328676,223,
Marchð,Machð De Kadi,-4.425577,15.341366,222,
Marchð,Marchð de Mbanza Lemba,-4.417746,15.316305,224,
ArretTransport,Intendance (UNIKIN),-4.414084,15.315177,43,
Marchð,Marchð Matete,-4.391996,15.347397,230,
Eglises,Eglise FEPACO Nzambe Malamu,-4.388988,15.327646,196,
ArretTransport,Lemba Terminus,-4.387227,15.328401,38,
Eglises,Paroisse Saint Benoðt,-4.389764,15.329373,195,
Eglises,ðglise les Semeurs,-4.388593,15.332431,194,
ArretTransport,Rond point super lemba,-4.37961,15.335366,39,
Eglises,eglise protestante de lemba,-4.384077,15.336248,191,
Marchð,marchð de super lemba,-4.382183,15.335709,225,
Eglises,Saint Augustin de Lemba,-4.384633,15.335733,192,
Eglises,Eglise Kimbanguiste,-4.376859,15.336911,188,
Eglises,Paroisse Notre-Dame d'Afrique,-4.376054,15.340406,189,
Eglises,Eglise La Semence Seeds Church,-4.378751,15.340562,187,
Commerces,FIKIN,-4.37247,15.338378,160,
Eglises,CREFM Eglise La Compassion,-4.376305,15.344851,185,
Eglises,Ministere combat spirituel,-4.373042,15.348966,184,
Eglises,Terrain dðAssemblðe des Tðmoins de Jðhovah,-4.372162,15.353134,182,
Eglises,Eglise Nðo Apostolique RDC Ouest,-4.375963,15.351617,183,
ArretTransport,Pont Matete,-4.382152,15.352492,40,
Eglises,Centre Evangðlique Emmanuel Langa-langa,-4.361655,15.357668,173,
Eglises,ðglise de Jðsus-Christ des saints des derniers jours,-4.378647,15.37012,181,
Eglises,Communaute Evagelique La Presence de Dieu/ MASINA,-4.385948,15.37329,179,
Eglises,Paroisse Marie Auxiliatrice,-4.379931,15.369036,180,
Eglises,Ejcev Nouvelle Alliance Bima,-4.38032,15.370533,177,
Eglises,ðglise Source de vie,-4.379421,15.37226,176,
ArretTransport,Place sainte thðrese,-4.406363,15.372221,55,
Marchð,Marchð Mangobo,-4.398432,15.376832,221,
ArretTransport,Quartier 1 (croissement Boulevard Lumumba),-4.388886,15.370506,56,
Eglises,ðglise Catholique Divin Maðtre,-4.386681,15.376957,178,
Eglises,le pain de vie,-4.34033,15.349406,172,
Eglises,Mosque Kingabwa,-4.330715,15.344345,170,
Eglises,Centre d'Evangelisation Peniel CEPE,-4.371679,15.379016,175,
Marchð,Marchð de la libertð,-4.39243,15.384479,220,
Hopitaux,Hðpital Biamba Marie Mutombo,-4.39055,15.38102,211,
ArretTransport,Place Commercial de limete (7 rue),-4.351001,15.332757,53,
Hopitaux,Hj Hospitals,-4.340507,15.329777,209,
ArretTransport,Bon Marchð,-4.318822,15.329841,52,
Eglises,Paroisse saint Eloi,-4.318093,15.330286,168,
Eglises,Mosque Bon Marche,-4.319652,15.3338,169,
Eglises,Paroisse saint Franðois-Xavier,-4.371975,15.374004,174,
Cimetiere,Nðcropole entre ciel et terre,-4.239315,15.592172,141,